PID,capital.gain,capital.loss,hours.per.week,native.country,class
P1,2174,0,40, United-States, <=50K
P2,0,0,13, United-States, <=50K
P3,0,0,40, United-States, <=50K
P4,0,0,40, United-States, <=50K
P5,0,0,40, Cuba, <=50K
P6,0,0,40, United-States, <=50K
P7,0,0,16, Jamaica, <=50K
P8,0,0,45, United-States, >50K
P9,14084,0,50, United-States, >50K
P10,5178,0,40, United-States, >50K
P11,0,0,80, United-States, >50K
P12,0,0,40, India, >50K
P13,0,0,30, United-States, <=50K
P14,0,0,50, United-States, <=50K
P15,0,0,40,Other, >50K
P16,0,0,45, Mexico, <=50K
P17,0,0,35, United-States, <=50K
P18,0,0,40, United-States, <=50K
P19,0,0,50, United-States, <=50K
P20,0,0,45, United-States, >50K
P21,0,0,60, United-States, >50K
P22,0,0,20, United-States, <=50K
P23,0,0,40, United-States, <=50K
P24,0,2042,40, United-States, <=50K
P25,0,0,40, United-States, <=50K
P26,0,0,40, United-States, >50K
P27,0,0,40, United-States, <=50K
P28,0,0,60, South, >50K
P29,0,0,80, United-States, <=50K
P30,0,0,40, United-States, <=50K
P31,0,0,52, United-States, <=50K
P32,0,0,44, United-States, <=50K
P33,0,1408,40, United-States, <=50K
P34,0,0,40, United-States, <=50K
P35,0,0,15, United-States, <=50K
P36,0,0,40, Puerto-Rico, <=50K
P37,0,0,40, United-States, <=50K
P38,0,0,25, United-States, <=50K
P39,0,0,38,Other, >50K
P40,0,0,40, United-States, <=50K
P41,0,0,43, United-States, <=50K
P42,0,0,40, United-States, <=50K
P43,0,0,50, United-States, <=50K
P44,0,0,40, United-States, <=50K
P45,0,0,35, United-States, <=50K
P46,0,0,40, United-States, >50K
P47,0,0,38, United-States, <=50K
P48,0,0,40, United-States, <=50K
P49,0,0,40, United-States, <=50K
P50,0,0,43, United-States, <=50K
P51,0,0,40, United-States, <=50K
P52,0,0,30,Other, <=50K
P53,0,1902,60, Honduras, >50K
P54,0,0,55, United-States, >50K
P55,0,0,60, United-States, <=50K
P56,0,0,40, United-States, >50K
P57,0,0,40, Mexico, <=50K
P58,0,0,40, Puerto-Rico, <=50K
P59,0,0,48, United-States, <=50K
P60,5013,0,40, United-States, <=50K
P61,2407,0,40, United-States, <=50K
P62,0,0,40,Other, <=50K
P63,0,0,40, United-States, <=50K
P64,0,0,45, United-States, >50K
P65,0,0,58, United-States, <=50K
P66,0,0,40, United-States, <=50K
P67,0,0,40, United-States, <=50K
P68,0,0,40, United-States, >50K
P69,0,0,50, United-States, >50K
P70,0,0,40, United-States, <=50K
P71,0,0,32, United-States, <=50K
P72,0,0,40, United-States, <=50K
P73,0,0,70, United-States, >50K
P74,0,0,40, United-States, <=50K
P75,0,0,20, United-States, <=50K
P76,0,0,40, Mexico, <=50K
P77,0,0,40, United-States, <=50K
P78,0,0,2, United-States, <=50K
P79,0,0,22, United-States, <=50K
P80,0,0,40, United-States, <=50K
P81,0,0,30, United-States, <=50K
P82,0,0,40, Cuba, <=50K
P83,0,0,40, United-States, <=50K
P84,0,0,48, United-States, <=50K
P85,14344,0,40, United-States, >50K
P86,0,0,35, United-States, <=50K
P87,0,0,40, United-States, >50K
P88,0,0,50, United-States, <=50K
P89,0,0,40, United-States, <=50K
P90,0,0,50, United-States, >50K
P91,0,0,40, United-States, <=50K
P92,0,0,40, United-States, <=50K
P93,0,0,25, United-States, <=50K
P94,0,1573,35,Other, <=50K
P95,0,0,40, United-States, >50K
P96,0,0,50, United-States, <=50K
P97,0,1902,60, United-States, >50K
P98,0,0,48, United-States, >50K
P99,0,0,40, England, <=50K
P100,0,0,40, United-States, <=50K
P101,0,0,40, United-States, >50K
P102,15024,0,60, United-States, >50K
P103,0,0,50, United-States, <=50K
P104,0,0,40, United-States, <=50K
P105,0,0,40, United-States, <=50K
P106,7688,0,40, United-States, >50K
P107,34095,0,32, United-States, <=50K
P108,0,0,40, United-States, <=50K
P109,0,0,40, United-States, <=50K
P110,0,0,40, United-States, <=50K
P111,0,0,40, United-States, <=50K
P112,0,0,40, United-States, >50K
P113,0,1887,50, Canada, >50K
P114,4064,0,25, United-States, <=50K
P115,0,0,40, United-States, <=50K
P116,0,0,50, United-States, <=50K
P117,0,0,50, United-States, <=50K
P118,0,0,40, United-States, >50K
P119,0,0,56, United-States, <=50K
P120,0,0,41, United-States, <=50K
P121,0,0,40, United-States, <=50K
P122,0,0,60, United-States, <=50K
P123,0,0,40, Germany, <=50K
P124,0,0,50, United-States, >50K
P125,0,0,35, United-States, <=50K
P126,0,0,40, United-States, >50K
P127,0,1719,28, United-States, <=50K
P128,0,0,40, United-States, >50K
P129,0,0,40, United-States, <=50K
P130,0,0,40, United-States, <=50K
P131,0,0,60, United-States, <=50K
P132,0,1762,40, United-States, <=50K
P133,4386,0,35, United-States, <=50K
P134,0,0,50, United-States, <=50K
P135,0,0,36, United-States, <=50K
P136,0,0,40, Iran, >50K
P137,0,0,60, United-States, <=50K
P138,0,0,35, United-States, <=50K
P139,0,0,20, United-States, <=50K
